id,timestamp,level,source,message
25,2026-05-07T16:41:34.509865,INFO,AGV-2,AGV-2 travelling to Warehouse (ETA 4s)
26,2026-05-07T16:41:38.535901,INFO,AGV-2,"AGV-2 arrived at Warehouse, awaiting confirmation"
27,2026-05-07T16:41:55.581073,WARN,AGV-1,AGV-1 confirmation timeout for Order #2
28,2026-05-07T16:41:55.604262,INFO,AGV-1,"AGV-1 idle, ready for next order"
29,2026-05-07T16:41:55.914235,INFO,API,Order #2 delivery confirmed by admin
30,2026-05-07T16:42:02.670858,INFO,API,Order #3 delivery confirmed by admin
31,2026-05-07T16:42:04.662137,INFO,AGV-2,AGV-2 delivery for Order #3 confirmed
32,2026-05-07T16:42:04.681531,INFO,AGV-2,"AGV-2 idle, ready for next order"
33,2026-05-07T17:00:28.320565,INFO,SIMULATOR,AGV simulator started
34,2026-05-07T17:05:21.956798,INFO,SIMULATOR,AGV simulator stopped
35,2026-05-07T17:09:21.186944,INFO,SIMULATOR,AGV simulator started
36,2026-05-07T17:15:09.166268,INFO,API,Order #4 'ramen' created (priority=3)
37,2026-05-07T17:15:11.103497,INFO,AGV-1,Order #4 assigned to AGV-1 (priority=3)
38,2026-05-07T17:15:13.127367,INFO,AGV-1,AGV-1 picked up Order #4
39,2026-05-07T17:15:13.137418,INFO,AGV-1,AGV-1 travelling to Zone 444 (ETA 4s)
40,2026-05-07T17:15:17.166182,INFO,AGV-1,"AGV-1 arrived at Zone 444, awaiting confirmation"
41,2026-05-07T17:15:44.329783,INFO,API,Order #5 'smart' created (priority=3)
42,2026-05-07T17:15:45.325297,INFO,AGV-2,Order #5 assigned to AGV-2 (priority=3)
43,2026-05-07T17:15:47.342000,INFO,AGV-2,AGV-2 picked up Order #5
44,2026-05-07T17:15:47.350559,INFO,AGV-2,AGV-2 travelling to Zone A (ETA 3s)
45,2026-05-07T17:15:50.373095,INFO,AGV-2,"AGV-2 arrived at Zone A, awaiting confirmation"
46,2026-05-07T17:16:17.479875,WARN,AGV-1,AGV-1 confirmation timeout for Order #4
47,2026-05-07T17:16:17.499262,INFO,AGV-1,"AGV-1 idle, ready for next order"
48,2026-05-07T17:16:50.704841,WARN,AGV-2,AGV-2 confirmation timeout for Order #5
49,2026-05-07T17:16:50.731579,INFO,AGV-2,"AGV-2 idle, ready for next order"
50,2026-05-07T17:26:07.943301,INFO,SIMULATOR,AGV simulator stopped
51,2026-05-07T17:26:08.981359,INFO,SIMULATOR,AGV simulator started
52,2026-05-07T17:28:22.779808,INFO,SIMULATOR,AGV simulator stopped
53,2026-05-07T17:28:48.101998,INFO,SIMULATOR,AGV simulator started
54,2026-05-07T17:28:54.763890,INFO,SIMULATOR,AGV simulator stopped
55,2026-05-07T17:29:59.668794,INFO,SIMULATOR,AGV simulator started
56,2026-05-07T17:31:09.709528,INFO,SIMULATOR,AGV simulator stopped
57,2026-05-07T17:50:55.418841,INFO,SIMULATOR,AGV simulator started
58,2026-05-08T00:02:40.978203,INFO,SIMULATOR,AGV simulator started
59,2026-05-08T00:09:55.810072,INFO,API,Order #6 'Abc technical shop' created (priority=1)
60,2026-05-08T00:09:57.187879,INFO,AGV-1,Order #6 assigned to AGV-1 (priority=1)
61,2026-05-08T00:09:59.219995,INFO,AGV-1,AGV-1 picked up Order #6
62,2026-05-08T00:09:59.236111,INFO,AGV-1,AGV-1 travelling to Zone D (ETA 9s)
63,2026-05-08T00:10:08.277976,INFO,AGV-1,"AGV-1 arrived at Zone D, awaiting confirmation"
64,2026-05-08T00:11:08.616994,WARN,AGV-1,AGV-1 confirmation timeout for Order #6
65,2026-05-08T00:11:08.639934,INFO,AGV-1,"AGV-1 idle, ready for next order"
66,2026-05-08T05:58:53.157510,INFO,SIMULATOR,AGV simulator started
67,2026-05-08T06:32:09.810432,INFO,API,Order #7 'dipesh' created (priority=3)
68,2026-05-08T06:32:11.184780,INFO,AGV-1,Order #7 assigned to AGV-1 (priority=3)
69,2026-05-08T06:32:13.210793,INFO,AGV-1,AGV-1 picked up Order #7
70,2026-05-08T06:32:13.226977,INFO,AGV-1,AGV-1 travelling to Zone 444 (ETA 4s)
71,2026-05-08T06:32:17.264223,INFO,AGV-1,"AGV-1 arrived at Zone 444, awaiting confirmation"
72,2026-05-08T06:33:17.637451,WARN,AGV-1,AGV-1 confirmation timeout for Order #7
73,2026-05-08T06:33:17.673478,INFO,AGV-1,"AGV-1 idle, ready for next order"
74,2026-05-08T06:36:01.135457,INFO,API,Order #5 delivery confirmed by admin
75,2026-05-08T06:36:25.072521,INFO,API,Order #8 'ramesh' created (priority=1)
76,2026-05-08T06:36:26.867636,INFO,AGV-1,Order #8 assigned to AGV-1 (priority=1)
77,2026-05-08T06:36:28.896006,INFO,AGV-1,AGV-1 picked up Order #8
78,2026-05-08T06:36:28.912573,INFO,AGV-1,AGV-1 travelling to Zone A (ETA 3s)
79,2026-05-08T06:36:31.944923,INFO,AGV-1,"AGV-1 arrived at Zone A, awaiting confirmation"
80,2026-05-08T06:36:57.184362,INFO,API,Order #8 delivery confirmed by admin
81,2026-05-08T06:36:58.081429,INFO,AGV-1,AGV-1 delivery for Order #8 confirmed
82,2026-05-08T06:36:58.114489,INFO,AGV-1,"AGV-1 idle, ready for next order"
83,2026-05-08T06:37:00.428032,INFO,API,Order #7 delivery confirmed by admin
84,2026-05-08T06:37:03.580797,INFO,API,Order #6 delivery confirmed by admin
85,2026-05-08T06:37:07.221017,INFO,API,Order #4 delivery confirmed by admin
86,2026-05-08T06:37:26.545731,INFO,API,Order #9 'ram' created (priority=3)
87,2026-05-08T06:37:27.296497,INFO,AGV-1,Order #9 assigned to AGV-1 (priority=3)
88,2026-05-08T06:37:29.325266,INFO,AGV-1,AGV-1 picked up Order #9
89,2026-05-08T06:37:29.344494,INFO,AGV-1,AGV-1 travelling to Zone A (ETA 3s)
90,2026-05-08T06:37:32.386332,INFO,AGV-1,"AGV-1 arrived at Zone A, awaiting confirmation"
91,2026-05-08T06:37:34.690563,INFO,API,Order #10 'sadnf' created (priority=3)
92,2026-05-08T06:37:35.357934,INFO,AGV-2,Order #10 assigned to AGV-2 (priority=3)
93,2026-05-08T06:37:37.376189,INFO,AGV-2,AGV-2 picked up Order #10
94,2026-05-08T06:37:37.390900,INFO,AGV-2,AGV-2 travelling to Zone A (ETA 3s)
95,2026-05-08T06:37:40.423802,INFO,AGV-2,"AGV-2 arrived at Zone A, awaiting confirmation"
96,2026-05-08T06:38:32.722107,WARN,AGV-1,AGV-1 confirmation timeout for Order #9
97,2026-05-08T06:38:32.750894,INFO,AGV-1,"AGV-1 idle, ready for next order"
98,2026-05-08T06:38:40.759818,WARN,AGV-2,AGV-2 confirmation timeout for Order #10
99,2026-05-08T06:38:40.786524,INFO,AGV-2,"AGV-2 idle, ready for next order"
100,2026-05-08T07:36:36.544049,INFO,SIMULATOR,AGV simulator started
101,2026-05-11T08:48:05.043460,INFO,SIMULATOR,AGV simulator started
102,2026-05-11T08:59:58.280777,INFO,SIMULATOR,AGV simulator started
103,2026-05-11T09:03:29.975946,INFO,API,Order #11 'apple' created and validated (priority=3)
104,2026-05-11T09:03:30.967610,INFO,AGV-1,Order #11 assigned to AGV-1 (priority=3)
105,2026-05-11T09:03:33.000793,INFO,AGV-1,AGV-1 picked up Order #11
106,2026-05-11T09:03:33.034800,INFO,AGV-1,AGV-1 travelling to Zone A (ETA 3s)
107,2026-05-11T09:03:36.078649,INFO,AGV-1,"AGV-1 arrived at Zone A, awaiting confirmation"
108,2026-05-11T09:04:36.419378,ERROR,AGV-1,AGV-1 confirmation timeout for Order #11 — marked failed
